combination,molecule_id,score,final_concentration
yeast + lactobacillus,ethanol,29.900000000000002,0.7064324626784211
yeast + lactobacillus,ATP,29.5,0.5324472398157902
yeast + lactobacillus,glycerol,29.8,0.21967798701550187
yeast + bacteroides,polysaccharide_lps,73.5,0.2516528493431755
yeast + bacteroides,lactate,48.0,0.33272278078416995
yeast + bacteroides,NADH,48.0,0.4261119427854492
yeast + bacteroides,ethanol,29.900000000000002,1.061648313446656
yeast + bacteroides,CO2,48.0,1.915016301237971
yeast + bacteroides,mannan_polysaccharide,70.5,0.1935200714906488
yeast + bacteroides,ADP,48.0,0.3258903124661331
yeast + bacteroides,ATP,29.5,0.5274776753251822
yeast + bacteroides,glycerol,29.8,0.3145660616789693
yeast + bifidobacterium,ethanol,29.900000000000002,1.1484933030613387
yeast + bifidobacterium,glycerol,29.8,0.3419420298599322
yeast + bifidobacterium,mannan_polysaccharide,70.5,0.2099625450514728
yeast + bifidobacterium,CO2,48.0,2.0619760491972263
yeast + bifidobacterium,ATP,29.5,0.9134827461358875
yeast + clostridium,NADH,48.0,0.4261119427854492
yeast + clostridium,acetate,48.0,0.4329444111034862
yeast + clostridium,lactate,48.0,0.33272278078416995
yeast + clostridium,ethanol,29.900000000000002,1.061648313446656
yeast + clostridium,glycerol,29.8,0.3145660616789693
yeast + clostridium,polysaccharide_lps,73.5,0.2516528493431755
yeast + clostridium,mannan_polysaccharide,70.5,0.1935200714906488
yeast + clostridium,ADP,48.0,0.3258903124661331
yeast + clostridium,CO2,48.0,1.915016301237971
yeast + clostridium,ATP,29.5,0.5274776753251822
yeast + streptococcus,polysaccharide_lps,73.5,0.17574238961240132
yeast + streptococcus,ethanol,29.900000000000002,0.7064324626784211
yeast + streptococcus,glycerol,29.8,0.21967798701550187
yeast + streptococcus,mannan_polysaccharide,70.5,0.1321306418216088
yeast + streptococcus,CO2,48.0,1.238879702494212
yeast + streptococcus,ATP,29.5,0.5324472398157902
yeast + enterococcus,NADH,48.0,0.4261119427854492
yeast + enterococcus,acetate,48.0,0.4329444111034862
yeast + enterococcus,lactate,48.0,0.33272278078416995
yeast + enterococcus,ethanol,29.900000000000002,1.061648313446656
yeast + enterococcus,glycerol,29.8,0.3145660616789693
yeast + enterococcus,polysaccharide_lps,73.5,0.2516528493431755
yeast + enterococcus,mannan_polysaccharide,70.5,0.1935200714906488
yeast + enterococcus,ADP,48.0,0.3258903124661331
yeast + enterococcus,CO2,48.0,1.915016301237971
yeast + enterococcus,ATP,29.5,0.5274776753251822
yeast + staphylococcus,NADH,48.0,0.4261119427854492
yeast + staphylococcus,acetate,48.0,0.4329444111034862
yeast + staphylococcus,lactate,48.0,0.33272278078416995
yeast + staphylococcus,ethanol,29.900000000000002,1.061648313446656
yeast + staphylococcus,polysaccharide_lps,73.5,0.2516528493431755
yeast + staphylococcus,mannan_polysaccharide,70.5,0.1935200714906488
yeast + staphylococcus,ADP,48.0,0.3258903124661331
yeast + staphylococcus,CO2,48.0,1.915016301237971
yeast + staphylococcus,ATP,29.5,0.5274776753251822
yeast + pseudomonas,polysaccharide_lps,73.5,0.17574238961240132
yeast + pseudomonas,ethanol,29.900000000000002,0.7064324626784211
yeast + pseudomonas,glycerol,29.8,0.21967798701550187
yeast + pseudomonas,mannan_polysaccharide,70.5,0.1321306418216088
yeast + pseudomonas,CO2,48.0,1.238879702494212
yeast + pseudomonas,ATP,29.5,0.5324472398157902
yeast + klebsiella,polysaccharide_lps,73.5,0.17574238961240132
yeast + klebsiella,ethanol,29.900000000000002,0.7064324626784211
yeast + klebsiella,glycerol,29.8,0.21967798701550187
yeast + klebsiella,mannan_polysaccharide,70.5,0.1321306418216088
yeast + klebsiella,CO2,48.0,1.238879702494212
yeast + klebsiella,ATP,29.5,0.5324472398157902
yeast + faecalibacterium,NADH,48.0,0.4261119427854492
yeast + faecalibacterium,lactate,48.0,0.33272278078416995
yeast + faecalibacterium,ethanol,29.900000000000002,1.061648313446656
yeast + faecalibacterium,glycerol,29.8,0.3145660616789693
yeast + faecalibacterium,polysaccharide_lps,73.5,0.2516528493431755
yeast + faecalibacterium,mannan_polysaccharide,70.5,0.1935200714906488
yeast + faecalibacterium,ADP,48.0,0.3258903124661331
yeast + faecalibacterium,CO2,48.0,1.915016301237971
yeast + faecalibacterium,ATP,29.5,0.5274776753251822
yeast + mycobacterium,NADH,48.0,0.4261119427854492
yeast + mycobacterium,acetate,48.0,0.4329444111034862
yeast + mycobacterium,lactate,48.0,0.33272278078416995
yeast + mycobacterium,ethanol,29.900000000000002,1.061648313446656
yeast + mycobacterium,glycerol,29.8,0.3145660616789693
yeast + mycobacterium,polysaccharide_lps,73.5,0.2516528493431755
yeast + mycobacterium,mannan_polysaccharide,70.5,0.1935200714906488
yeast + mycobacterium,ADP,48.0,0.3258903124661331
yeast + mycobacterium,CO2,48.0,1.915016301237971
yeast + mycobacterium,ATP,29.5,0.5274776753251822
yeast + bordetella,NADH,48.0,0.4261119427854492
yeast + bordetella,acetate,48.0,0.4329444111034862
yeast + bordetella,lactate,48.0,0.33272278078416995
yeast + bordetella,ethanol,29.900000000000002,1.061648313446656
yeast + bordetella,glycerol,29.8,0.3145660616789693
yeast + bordetella,polysaccharide_lps,73.5,0.2516528493431755
yeast + bordetella,mannan_polysaccharide,70.5,0.1935200714906488
yeast + bordetella,ADP,48.0,0.3258903124661331
yeast + bordetella,CO2,48.0,1.915016301237971
yeast + bordetella,ATP,29.5,0.5274776753251822
yeast + vibrio,NADH,48.0,0.4261119427854492
yeast + vibrio,acetate,48.0,0.4329444111034862
yeast + vibrio,lactate,48.0,0.33272278078416995
yeast + vibrio,ethanol,29.900000000000002,1.061648313446656
yeast + vibrio,glycerol,29.8,0.3145660616789693
yeast + vibrio,polysaccharide_lps,73.5,0.2516528493431755
yeast + vibrio,mannan_polysaccharide,70.5,0.1935200714906488
yeast + vibrio,ADP,48.0,0.3258903124661331
yeast + vibrio,CO2,48.0,1.915016301237971
yeast + vibrio,ATP,29.5,0.5274776753251822
yeast + helicobacter,NADH,48.0,0.4261119427854492
yeast + helicobacter,acetate,48.0,0.4329444111034862
yeast + helicobacter,lactate,48.0,0.33272278078416995
yeast + helicobacter,ethanol,29.900000000000002,1.061648313446656
yeast + helicobacter,glycerol,29.8,0.3145660616789693
yeast + helicobacter,polysaccharide_lps,73.5,0.2516528493431755
yeast + helicobacter,mannan_polysaccharide,70.5,0.1935200714906488
yeast + helicobacter,ADP,48.0,0.3258903124661331
yeast + helicobacter,CO2,48.0,1.915016301237971
yeast + helicobacter,ATP,29.5,0.5274776753251822
yeast + legionella,acetate,48.0,0.4329444111034862
yeast + legionella,ADP,48.0,0.3258903124661331
yeast + legionella,lactate,48.0,0.33272278078416995
yeast + legionella,mannan_polysaccharide,70.5,0.1935200714906488
yeast + legionella,NADH,48.0,0.4261119427854492
yeast + legionella,polysaccharide_lps,73.5,0.2516528493431755
yeast + legionella,ATP,29.5,0.5274776753251822
yeast + legionella,CO2,48.0,1.915016301237971
yeast + legionella,ethanol,29.900000000000002,1.061648313446656
yeast + legionella,glycerol,29.8,0.3145660616789693
flu_virus + bacillus,polysaccharide_lps,73.5,1.8423267410990654
flu_virus + salmonella,polysaccharide_lps,73.5,1.8423267410990654
flu_virus + lactobacillus,mannan_polysaccharide,70.5,0.39835426172950344
flu_virus + lactobacillus,ATP,29.5,0.5324472398157902
flu_virus + lactobacillus,CO2,48.0,1.238879702494212
flu_virus + lactobacillus,ethanol,29.900000000000002,0.7064324626784211
flu_virus + lactobacillus,glycerol,29.8,0.21967798701550187
flu_virus + bacteroides,polysaccharide_lps,73.5,1.8423267410990654
flu_virus + bifidobacterium,mannan_polysaccharide,70.5,0.2099625450514728
flu_virus + bifidobacterium,ATP,29.5,0.9134827461358875
flu_virus + bifidobacterium,CO2,48.0,2.0619760491972263
flu_virus + bifidobacterium,ethanol,29.900000000000002,1.1484933030613387
flu_virus + bifidobacterium,glycerol,29.8,0.3419420298599322
flu_virus + clostridium,polysaccharide_lps,73.5,1.8423267410990654
flu_virus + streptococcus,polysaccharide_lps,73.5,1.0394143665763025
flu_virus + enterococcus,polysaccharide_lps,73.5,1.8423267410990654
flu_virus + staphylococcus,polysaccharide_lps,73.5,1.8423267410990654
flu_virus + pseudomonas,polysaccharide_lps,73.5,1.0216907694216941
flu_virus + klebsiella,polysaccharide_lps,73.5,0.9632359701222799
flu_virus + faecalibacterium,polysaccharide_lps,73.5,1.8423267410990654
flu_virus + mycobacterium,polysaccharide_lps,73.5,1.8423267410990654
flu_virus + bordetella,polysaccharide_lps,73.5,1.8423267410990654
flu_virus + vibrio,polysaccharide_lps,73.5,1.8423267410990654
flu_virus + helicobacter,polysaccharide_lps,73.5,1.8423267410990654
flu_virus + legionella,polysaccharide_lps,73.5,1.8423267410990654
bacillus + salmonella,polysaccharide_lps,73.5,1.8423267410990654
bacillus + lactobacillus,mannan_polysaccharide,70.5,0.39835426172950344
bacillus + lactobacillus,ethanol,29.900000000000002,0.7064324626784211
bacillus + lactobacillus,CO2,48.0,1.238879702494212
bacillus + lactobacillus,polysaccharide_lps,73.5,0.17574238961240132
bacillus + lactobacillus,ATP,29.5,0.308106987264461
bacillus + bacteroides,polysaccharide_lps,73.5,1.8423267410990654
bacillus + bifidobacterium,mannan_polysaccharide,70.5,0.1321306418216088
bacillus + bifidobacterium,ethanol,29.900000000000002,0.7064324626784211
bacillus + bifidobacterium,CO2,48.0,1.238879702494212
bacillus + bifidobacterium,polysaccharide_lps,73.5,0.17574238961240132
bacillus + bifidobacterium,ATP,29.5,0.308106987264461
bacillus + clostridium,polysaccharide_lps,73.5,1.8423267410990654
bacillus + streptococcus,polysaccharide_lps,73.5,1.0394143665763025
bacillus + enterococcus,polysaccharide_lps,73.5,1.8423267410990654
bacillus + staphylococcus,polysaccharide_lps,73.5,1.8423267410990654
bacillus + pseudomonas,polysaccharide_lps,73.5,1.0216907694216941
bacillus + klebsiella,polysaccharide_lps,73.5,0.9632359701222799
bacillus + faecalibacterium,polysaccharide_lps,73.5,1.8423267410990654
bacillus + mycobacterium,polysaccharide_lps,73.5,1.8423267410990654
bacillus + bordetella,polysaccharide_lps,73.5,1.8423267410990654
bacillus + vibrio,polysaccharide_lps,73.5,1.8423267410990654
bacillus + helicobacter,polysaccharide_lps,73.5,1.8423267410990654
bacillus + legionella,polysaccharide_lps,73.5,1.8423267410990654
salmonella + lactobacillus,mannan_polysaccharide,70.5,0.39835426172950344
salmonella + lactobacillus,polysaccharide_lps,73.5,0.17574238961240132
salmonella + lactobacillus,ATP,29.5,0.5324472398157902
salmonella + lactobacillus,CO2,48.0,1.238879702494212
salmonella + lactobacillus,ethanol,29.900000000000002,0.7064324626784211
salmonella + lactobacillus,glycerol,29.8,0.21967798701550187
salmonella + bacteroides,polysaccharide_lps,73.5,1.8423267410990654
salmonella + bifidobacterium,ethanol,29.900000000000002,0.7064324626784211
salmonella + bifidobacterium,mannan_polysaccharide,70.5,0.1321306418216088
salmonella + bifidobacterium,CO2,48.0,1.238879702494212
salmonella + bifidobacterium,polysaccharide_lps,73.5,0.17574238961240132
salmonella + bifidobacterium,ATP,29.5,0.5324472398157902
salmonella + bifidobacterium,glycerol,29.8,0.21967798701550187
salmonella + clostridium,polysaccharide_lps,73.5,1.8423267410990654
salmonella + streptococcus,polysaccharide_lps,73.5,1.0394143665763025
salmonella + enterococcus,polysaccharide_lps,73.5,1.8423267410990654
salmonella + staphylococcus,polysaccharide_lps,73.5,1.8423267410990654
salmonella + pseudomonas,polysaccharide_lps,73.5,1.0216907694216941
salmonella + klebsiella,polysaccharide_lps,73.5,0.9632359701222799
salmonella + faecalibacterium,polysaccharide_lps,73.5,1.8423267410990654
salmonella + mycobacterium,polysaccharide_lps,73.5,1.8423267410990654
salmonella + bordetella,polysaccharide_lps,73.5,1.8423267410990654
salmonella + vibrio,polysaccharide_lps,73.5,1.8423267410990654
salmonella + helicobacter,polysaccharide_lps,73.5,1.8423267410990654
salmonella + legionella,polysaccharide_lps,73.5,1.8423267410990654
lactobacillus + bacteroides,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + bacteroides,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + bacteroides,glycerol,29.8,0.21967798701550187
lactobacillus + bacteroides,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + bacteroides,CO2,48.0,1.238879702494212
lactobacillus + bacteroides,ATP,29.5,0.5324472398157902
lactobacillus + bifidobacterium,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + bifidobacterium,glycerol,29.8,0.21967798701550187
lactobacillus + bifidobacterium,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + bifidobacterium,CO2,48.0,1.238879702494212
lactobacillus + bifidobacterium,ATP,29.5,0.5324472398157902
lactobacillus + clostridium,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + clostridium,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + clostridium,glycerol,29.8,0.21967798701550187
lactobacillus + clostridium,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + clostridium,CO2,48.0,1.238879702494212
lactobacillus + clostridium,ATP,29.5,0.5324472398157902
lactobacillus + streptococcus,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + streptococcus,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + streptococcus,glycerol,29.8,0.21967798701550187
lactobacillus + streptococcus,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + streptococcus,CO2,48.0,1.238879702494212
lactobacillus + streptococcus,ATP,29.5,0.5324472398157902
lactobacillus + enterococcus,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + enterococcus,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + enterococcus,glycerol,29.8,0.21967798701550187
lactobacillus + enterococcus,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + enterococcus,CO2,48.0,1.238879702494212
lactobacillus + enterococcus,ATP,29.5,0.5324472398157902
lactobacillus + staphylococcus,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + staphylococcus,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + staphylococcus,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + staphylococcus,CO2,48.0,1.238879702494212
lactobacillus + staphylococcus,ATP,29.5,0.5324472398157902
lactobacillus + pseudomonas,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + pseudomonas,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + pseudomonas,glycerol,29.8,0.21967798701550187
lactobacillus + pseudomonas,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + pseudomonas,CO2,48.0,1.238879702494212
lactobacillus + pseudomonas,ATP,29.5,0.5324472398157902
lactobacillus + klebsiella,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + klebsiella,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + klebsiella,glycerol,29.8,0.21967798701550187
lactobacillus + klebsiella,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + klebsiella,CO2,48.0,1.238879702494212
lactobacillus + klebsiella,ATP,29.5,0.5324472398157902
lactobacillus + faecalibacterium,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + faecalibacterium,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + faecalibacterium,glycerol,29.8,0.21967798701550187
lactobacillus + faecalibacterium,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + faecalibacterium,CO2,48.0,1.238879702494212
lactobacillus + faecalibacterium,ATP,29.5,0.5324472398157902
lactobacillus + mycobacterium,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + mycobacterium,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + mycobacterium,glycerol,29.8,0.21967798701550187
lactobacillus + mycobacterium,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + mycobacterium,CO2,48.0,1.238879702494212
lactobacillus + mycobacterium,ATP,29.5,0.5324472398157902
lactobacillus + bordetella,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + bordetella,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + bordetella,glycerol,29.8,0.21967798701550187
lactobacillus + bordetella,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + bordetella,CO2,48.0,1.238879702494212
lactobacillus + bordetella,ATP,29.5,0.5324472398157902
lactobacillus + vibrio,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + vibrio,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + vibrio,glycerol,29.8,0.21967798701550187
lactobacillus + vibrio,CO2,48.0,1.238879702494212
lactobacillus + vibrio,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + vibrio,ATP,29.5,0.5324472398157902
lactobacillus + helicobacter,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + helicobacter,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + helicobacter,glycerol,29.8,0.21967798701550187
lactobacillus + helicobacter,CO2,48.0,1.238879702494212
lactobacillus + helicobacter,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + helicobacter,ATP,29.5,0.5324472398157902
lactobacillus + legionella,mannan_polysaccharide,70.5,0.39835426172950344
lactobacillus + legionella,ethanol,29.900000000000002,0.7064324626784211
lactobacillus + legionella,glycerol,29.8,0.21967798701550187
lactobacillus + legionella,CO2,48.0,1.238879702494212
lactobacillus + legionella,polysaccharide_lps,73.5,0.17574238961240132
lactobacillus + legionella,ATP,29.5,0.5324472398157902
bacteroides + bifidobacterium,mannan_polysaccharide,70.5,0.1321306418216088
bacteroides + bifidobacterium,ethanol,29.900000000000002,0.7064324626784211
bacteroides + bifidobacterium,glycerol,29.8,0.21967798701550187
bacteroides + bifidobacterium,CO2,48.0,1.238879702494212
bacteroides + bifidobacterium,polysaccharide_lps,73.5,0.17574238961240132
bacteroides + bifidobacterium,ATP,29.5,0.5324472398157902
bacteroides + clostridium,polysaccharide_lps,73.5,1.8423267410990654
bacteroides + streptococcus,polysaccharide_lps,73.5,1.0394143665763025
bacteroides + enterococcus,polysaccharide_lps,73.5,1.8423267410990654
bacteroides + staphylococcus,polysaccharide_lps,73.5,1.8423267410990654
bacteroides + pseudomonas,polysaccharide_lps,73.5,1.0216907694216941
bacteroides + klebsiella,polysaccharide_lps,73.5,0.9632359701222799
bacteroides + faecalibacterium,polysaccharide_lps,73.5,1.8423267410990654
bacteroides + mycobacterium,polysaccharide_lps,73.5,1.8423267410990654
bacteroides + bordetella,polysaccharide_lps,73.5,1.8423267410990654
bacteroides + vibrio,polysaccharide_lps,73.5,1.8423267410990654
bacteroides + helicobacter,polysaccharide_lps,73.5,1.8423267410990654
bacteroides + legionella,polysaccharide_lps,73.5,1.8423267410990654
bifidobacterium + clostridium,mannan_polysaccharide,70.5,0.1321306418216088
bifidobacterium + clostridium,polysaccharide_lps,73.5,0.17574238961240132
bifidobacterium + clostridium,ATP,29.5,0.5324472398157902
bifidobacterium + clostridium,CO2,48.0,1.238879702494212
bifidobacterium + clostridium,ethanol,29.900000000000002,0.7064324626784211
bifidobacterium + clostridium,glycerol,29.8,0.21967798701550187
bifidobacterium + streptococcus,mannan_polysaccharide,70.5,0.1321306418216088
bifidobacterium + streptococcus,polysaccharide_lps,73.5,0.17574238961240132
bifidobacterium + streptococcus,ATP,29.5,0.5324472398157902
bifidobacterium + streptococcus,CO2,48.0,1.238879702494212
bifidobacterium + streptococcus,ethanol,29.900000000000002,0.7064324626784211
bifidobacterium + streptococcus,glycerol,29.8,0.21967798701550187
bifidobacterium + enterococcus,mannan_polysaccharide,70.5,0.1321306418216088
bifidobacterium + enterococcus,polysaccharide_lps,73.5,0.17574238961240132
bifidobacterium + enterococcus,ATP,29.5,0.5324472398157902
bifidobacterium + enterococcus,CO2,48.0,1.238879702494212
bifidobacterium + enterococcus,ethanol,29.900000000000002,0.7064324626784211
bifidobacterium + enterococcus,glycerol,29.8,0.21967798701550187
bifidobacterium + staphylococcus,mannan_polysaccharide,70.5,0.1321306418216088
bifidobacterium + staphylococcus,polysaccharide_lps,73.5,0.17574238961240132
bifidobacterium + staphylococcus,ATP,29.5,0.5324472398157902
bifidobacterium + staphylococcus,CO2,48.0,1.238879702494212
bifidobacterium + staphylococcus,ethanol,29.900000000000002,0.7064324626784211
bifidobacterium + pseudomonas,mannan_polysaccharide,70.5,0.1321306418216088
bifidobacterium + pseudomonas,polysaccharide_lps,73.5,0.17574238961240132
bifidobacterium + pseudomonas,ATP,29.5,0.5324472398157902
bifidobacterium + pseudomonas,CO2,48.0,1.238879702494212
bifidobacterium + pseudomonas,ethanol,29.900000000000002,0.7064324626784211
bifidobacterium + pseudomonas,glycerol,29.8,0.21967798701550187
bifidobacterium + klebsiella,mannan_polysaccharide,70.5,0.1321306418216088
bifidobacterium + klebsiella,polysaccharide_lps,73.5,0.17574238961240132
bifidobacterium + klebsiella,ATP,29.5,0.5324472398157902
bifidobacterium + klebsiella,CO2,48.0,1.238879702494212
bifidobacterium + klebsiella,ethanol,29.900000000000002,0.7064324626784211
bifidobacterium + klebsiella,glycerol,29.8,0.21967798701550187
bifidobacterium + faecalibacterium,mannan_polysaccharide,70.5,0.1321306418216088
bifidobacterium + faecalibacterium,polysaccharide_lps,73.5,0.17574238961240132
bifidobacterium + faecalibacterium,ATP,29.5,0.5324472398157902
bifidobacterium + faecalibacterium,CO2,48.0,1.238879702494212
bifidobacterium + faecalibacterium,ethanol,29.900000000000002,0.7064324626784211
bifidobacterium + faecalibacterium,glycerol,29.8,0.21967798701550187
bifidobacterium + mycobacterium,mannan_polysaccharide,70.5,0.1321306418216088
bifidobacterium + mycobacterium,polysaccharide_lps,73.5,0.17574238961240132
bifidobacterium + mycobacterium,ATP,29.5,0.5324472398157902
bifidobacterium + mycobacterium,CO2,48.0,1.238879702494212
bifidobacterium + mycobacterium,ethanol,29.900000000000002,0.7064324626784211
bifidobacterium + mycobacterium,glycerol,29.8,0.21967798701550187
bifidobacterium + bordetella,ethanol,29.900000000000002,0.7064324626784211
bifidobacterium + bordetella,mannan_polysaccharide,70.5,0.1321306418216088
bifidobacterium + bordetella,CO2,48.0,1.238879702494212
bifidobacterium + bordetella,polysaccharide_lps,73.5,0.17574238961240132
bifidobacterium + bordetella,ATP,29.5,0.5324472398157902
bifidobacterium + bordetella,glycerol,29.8,0.21967798701550187
bifidobacterium + vibrio,ethanol,29.900000000000002,0.7064324626784211
bifidobacterium + vibrio,mannan_polysaccharide,70.5,0.1321306418216088
bifidobacterium + vibrio,CO2,48.0,1.238879702494212
bifidobacterium + vibrio,polysaccharide_lps,73.5,0.17574238961240132
bifidobacterium + vibrio,ATP,29.5,0.5324472398157902
bifidobacterium + vibrio,glycerol,29.8,0.21967798701550187
bifidobacterium + helicobacter,ethanol,29.900000000000002,0.7064324626784211
bifidobacterium + helicobacter,mannan_polysaccharide,70.5,0.1321306418216088
bifidobacterium + helicobacter,CO2,48.0,1.238879702494212
bifidobacterium + helicobacter,polysaccharide_lps,73.5,0.17574238961240132
bifidobacterium + helicobacter,ATP,29.5,0.5324472398157902
bifidobacterium + helicobacter,glycerol,29.8,0.21967798701550187
bifidobacterium + legionella,ethanol,29.900000000000002,0.7064324626784211
bifidobacterium + legionella,mannan_polysaccharide,70.5,0.1321306418216088
bifidobacterium + legionella,CO2,48.0,1.238879702494212
bifidobacterium + legionella,polysaccharide_lps,73.5,0.17574238961240132
bifidobacterium + legionella,ATP,29.5,0.5324472398157902
bifidobacterium + legionella,glycerol,29.8,0.21967798701550187
clostridium + streptococcus,polysaccharide_lps,73.5,1.0394143665763025
clostridium + enterococcus,polysaccharide_lps,73.5,1.8423267410990654
clostridium + staphylococcus,polysaccharide_lps,73.5,1.8423267410990654
clostridium + pseudomonas,polysaccharide_lps,73.5,1.0216907694216941
clostridium + klebsiella,polysaccharide_lps,73.5,0.9632359701222799
clostridium + faecalibacterium,polysaccharide_lps,73.5,1.8423267410990654
