Protein_ID,Domain_Type,Vaccine_Score,Recommendation,Rationale
NC_017333.1_1411,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_463,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_390,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1751,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1473,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1945,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_622,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1576,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_909,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_28,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_248,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_852,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_785,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2143,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2341,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1948,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1000,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_993,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2619,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2431,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2047,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_387,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1476,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_216,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1811,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_124,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2471,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2438,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1369,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1004,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2299,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1749,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2101,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2022,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1152,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_48,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2001,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2575,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2137,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_976,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_453,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2581,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_747,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2167,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_245,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1263,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2371,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_839,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1902,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1310,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2054,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_454,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_291,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_563,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2605,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_253,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2031,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_323,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_161,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2444,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2139,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1933,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_464,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2525,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_160,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1270,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2381,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_753,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_301,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2620,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2475,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_494,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_234,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1144,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2388,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_825,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_278,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1568,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1616,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1598,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1577,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_765,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1158,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_558,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2425,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1083,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_413,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2461,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2144,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2055,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_204,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1392,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_217,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_415,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_368,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2615,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2474,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2401,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1826,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_153,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1495,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1003,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_328,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1928,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1723,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1644,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1700,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1385,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2151,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_408,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1192,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1173,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_315,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2392,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2302,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1450,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1923,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1765,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_955,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_910,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2095,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_891,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1159,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_652,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1413,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_508,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_929,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_297,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2229,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_21,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_540,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_518,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2571,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1565,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2552,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1418,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1286,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1064,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1021,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_885,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_632,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_589,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_2418,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1863,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1712,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_17,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1055,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1231,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_654,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_384,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1552,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1479,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1344,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
NC_017333.1_1160,PKS/NRPS,48.0,medium,Adjuvant similarity: 0.000; Toxin similarity: 0.000; Immunogenicity: 0.300
