Combination,Novel Metabolites Count,Novel Metabolites,Best Vaccine Score,Best Recommendation
bifidobacterium + klebsiella,8,"capsule_polysaccharide, exopolysaccharide, mannan_polysaccharide, polysaccharide_lps, ATP, CO2, ethanol, glycerol",73.5,high
bifidobacterium + faecalibacterium,7,"exopolysaccharide, mannan_polysaccharide, polysaccharide_lps, ATP, CO2, ethanol, glycerol",73.5,high
bifidobacterium + mycobacterium,7,"exopolysaccharide, mannan_polysaccharide, polysaccharide_lps, ATP, CO2, ethanol, glycerol",73.5,high
bifidobacterium + bordetella,7,"exopolysaccharide, ethanol, mannan_polysaccharide, CO2, polysaccharide_lps, ATP, glycerol",73.5,high
bifidobacterium + vibrio,7,"exopolysaccharide, ethanol, mannan_polysaccharide, CO2, polysaccharide_lps, ATP, glycerol",73.5,high
bifidobacterium + helicobacter,7,"exopolysaccharide, ethanol, mannan_polysaccharide, CO2, polysaccharide_lps, ATP, glycerol",73.5,high
bifidobacterium + legionella,7,"exopolysaccharide, ethanol, mannan_polysaccharide, CO2, polysaccharide_lps, ATP, glycerol",73.5,high
clostridium + streptococcus,2,"polysaccharide_lps, capsular_polysaccharide",73.5,high
clostridium + enterococcus,1,polysaccharide_lps,73.5,high
clostridium + staphylococcus,1,polysaccharide_lps,73.5,high
clostridium + pseudomonas,2,"polysaccharide_lps, alginate",73.5,high
clostridium + klebsiella,2,"polysaccharide_lps, capsule_polysaccharide",73.5,high
clostridium + faecalibacterium,1,polysaccharide_lps,73.5,high
clostridium + mycobacterium,1,polysaccharide_lps,73.5,high
clostridium + bordetella,1,polysaccharide_lps,73.5,high
clostridium + vibrio,1,polysaccharide_lps,73.5,high
clostridium + helicobacter,1,polysaccharide_lps,73.5,high
clostridium + legionella,1,polysaccharide_lps,73.5,high
streptococcus + enterococcus,2,"polysaccharide_lps, capsular_polysaccharide",73.5,high
streptococcus + staphylococcus,2,"polysaccharide_lps, capsular_polysaccharide",73.5,high
streptococcus + pseudomonas,3,"capsular_polysaccharide, polysaccharide_lps, alginate",73.5,high
streptococcus + klebsiella,3,"capsular_polysaccharide, polysaccharide_lps, capsule_polysaccharide",73.5,high
streptococcus + faecalibacterium,2,"polysaccharide_lps, capsular_polysaccharide",73.5,high
streptococcus + mycobacterium,2,"polysaccharide_lps, capsular_polysaccharide",73.5,high
streptococcus + bordetella,2,"polysaccharide_lps, capsular_polysaccharide",73.5,high
streptococcus + vibrio,2,"polysaccharide_lps, capsular_polysaccharide",73.5,high
streptococcus + helicobacter,2,"polysaccharide_lps, capsular_polysaccharide",73.5,high
streptococcus + legionella,2,"polysaccharide_lps, capsular_polysaccharide",73.5,high
enterococcus + staphylococcus,1,polysaccharide_lps,73.5,high
enterococcus + pseudomonas,2,"polysaccharide_lps, alginate",73.5,high
enterococcus + klebsiella,2,"polysaccharide_lps, capsule_polysaccharide",73.5,high
enterococcus + faecalibacterium,1,polysaccharide_lps,73.5,high
enterococcus + mycobacterium,1,polysaccharide_lps,73.5,high
enterococcus + bordetella,1,polysaccharide_lps,73.5,high
enterococcus + vibrio,1,polysaccharide_lps,73.5,high
enterococcus + helicobacter,1,polysaccharide_lps,73.5,high
enterococcus + legionella,1,polysaccharide_lps,73.5,high
staphylococcus + pseudomonas,2,"polysaccharide_lps, alginate",73.5,high
staphylococcus + klebsiella,2,"polysaccharide_lps, capsule_polysaccharide",73.5,high
staphylococcus + faecalibacterium,1,polysaccharide_lps,73.5,high
staphylococcus + mycobacterium,1,polysaccharide_lps,73.5,high
staphylococcus + bordetella,1,polysaccharide_lps,73.5,high
staphylococcus + vibrio,1,polysaccharide_lps,73.5,high
staphylococcus + helicobacter,1,polysaccharide_lps,73.5,high
staphylococcus + legionella,1,polysaccharide_lps,73.5,high
pseudomonas + klebsiella,3,"capsule_polysaccharide, polysaccharide_lps, alginate",73.5,high
pseudomonas + faecalibacterium,2,"polysaccharide_lps, alginate",73.5,high
pseudomonas + mycobacterium,2,"polysaccharide_lps, alginate",73.5,high
pseudomonas + bordetella,2,"polysaccharide_lps, alginate",73.5,high
pseudomonas + vibrio,2,"polysaccharide_lps, alginate",73.5,high
pseudomonas + helicobacter,2,"polysaccharide_lps, alginate",73.5,high
pseudomonas + legionella,2,"polysaccharide_lps, alginate",73.5,high
klebsiella + faecalibacterium,2,"polysaccharide_lps, capsule_polysaccharide",73.5,high
klebsiella + mycobacterium,2,"polysaccharide_lps, capsule_polysaccharide",73.5,high
klebsiella + bordetella,2,"polysaccharide_lps, capsule_polysaccharide",73.5,high
klebsiella + vibrio,2,"polysaccharide_lps, capsule_polysaccharide",73.5,high
klebsiella + helicobacter,2,"polysaccharide_lps, capsule_polysaccharide",73.5,high
klebsiella + legionella,2,"polysaccharide_lps, capsule_polysaccharide",73.5,high
faecalibacterium + mycobacterium,1,polysaccharide_lps,73.5,high
faecalibacterium + bordetella,1,polysaccharide_lps,73.5,high
faecalibacterium + vibrio,1,polysaccharide_lps,73.5,high
faecalibacterium + helicobacter,1,polysaccharide_lps,73.5,high
faecalibacterium + legionella,1,polysaccharide_lps,73.5,high
mycobacterium + bordetella,1,polysaccharide_lps,73.5,high
mycobacterium + vibrio,1,polysaccharide_lps,73.5,high
mycobacterium + helicobacter,1,polysaccharide_lps,73.5,high
mycobacterium + legionella,1,polysaccharide_lps,73.5,high
bordetella + vibrio,1,polysaccharide_lps,73.5,high
bordetella + helicobacter,1,polysaccharide_lps,73.5,high
bordetella + legionella,1,polysaccharide_lps,73.5,high
vibrio + helicobacter,1,polysaccharide_lps,73.5,high
vibrio + legionella,1,polysaccharide_lps,73.5,high
helicobacter + legionella,1,polysaccharide_lps,73.5,high
yeast + flu_virus,5,"mannan_polysaccharide, CO2, ethanol, ATP, glycerol",70.5,high
yeast + lactobacillus,5,"mannan_polysaccharide, CO2, ethanol, ATP, glycerol",70.5,high
yeast + bifidobacterium,6,"ethanol, glycerol, mannan_polysaccharide, exopolysaccharide, CO2, ATP",70.5,high
flu_virus + lactobacillus,5,"mannan_polysaccharide, ATP, CO2, ethanol, glycerol",70.5,high
flu_virus + bifidobacterium,6,"exopolysaccharide, mannan_polysaccharide, ATP, CO2, ethanol, glycerol",70.5,high
lactobacillus + bifidobacterium,6,"ethanol, glycerol, mannan_polysaccharide, exopolysaccharide, CO2, ATP",70.5,high
